mRNA,RF_Classifier_prob
A598,0.7300108790397644
A599,0.798675787448883
A600,0.795418095588684
A601,0.7995881080627442
A602,0.7856047034263611
A603,0.7841618657112122
A604,0.749573576450348
A605,0.6011965155601502
A606,0.779677939414978
A607,0.7918657302856446
A608,0.7916676998138428
A609,0.7913305640220643
A610,0.7998222470283508
A611,0.6050129756331444
A612,0.7996633887290955
A613,0.799813735485077
A614,0.7993210077285766
A615,0.7998129367828369
A616,0.7995740175247192
A617,0.7767491459846496
A618,0.7989686489105224
A619,0.7998196721076966
A620,0.7927003383636475
A621,0.7950667619705201
A622,0.7978664398193359
A623,0.7994413614273072
A624,0.7992723226547241
A625,0.7987462162971497
A626,0.5613324165344238
A627,0.6554281175136566
A628,0.6156332224607468
A629,0.798900032043457
A630,0.7993628501892089
A631,0.7979205131530762
A632,0.796751344203949
A633,0.7986730456352233
A634,0.7910672903060914
A635,0.7992028832435608
A636,0.7999077439308167
A637,0.7976936459541321
A638,0.7996569395065307
A639,0.7996990203857421
A640,0.7974730968475342
A641,0.7982619285583497
A642,0.7985564947128296
A643,0.7966662526130677
A644,0.7975348114967347
A645,0.6632394313812255
A646,0.6076785027980804
A647,0.4878215368371457
A648,0.5613494098186493
A649,0.7412996053695678
A650,0.717828893661499
A651,0.7979497671127319
A652,0.7006450653076172
A653,0.5151499755680561
A654,0.7996466994285584
A655,0.799618911743164
A656,0.799617326259613
A657,0.7991060853004456
A658,0.7998746871948242
A659,0.5642304370179773
A660,0.4107080767353182
A661,0.4026802278123796
A662,0.7990165591239929
A663,0.7913010716438293
A664,0.7175486803054809
A665,0.7849680781364441
A666,0.5601317450404167
A667,0.5663208678364754
A668,0.7422107696533203
A669,0.7971600890159607
A670,0.7992710947990418
A671,0.5604592323303222
A672,0.7711439013481141
A673,0.7967757105827331
A674,0.7996554136276245
A675,0.7980693578720093
A676,0.7999048948287963
A677,0.7997880578041077
A678,0.7965276837348938
A679,0.7928558707237243
A680,0.7806408524513244
A681,0.7934486389160156
A682,0.7912810921669007
A683,0.7979083299636841
A684,0.7413861274719238
A685,0.6038082398474216
A686,0.5684365707216784
A687,0.6537027657032013
A688,0.7914932250976563
A689,0.673519492149353
A690,0.571078700851649
A691,0.4803758814683533
A692,0.36366924069493506
A693,0.5610776789486408
A694,0.4593270476296311
A695,0.5153216211590916
A696,0.6116988897323609
A697,0.7614509582519531
A698,0.7992368102073669
A699,0.7988144755363464
A700,0.7499490261077881
A701,0.7874789118766785
A702,0.7992457747459412
A703,0.7917885661125184
A704,0.7988764047622681
A705,0.7992677927017212
A706,0.7995439767837524
A707,0.7977267026901245
A708,0.7996816992759704
A709,0.7996267795562744
A710,0.7920480966567993
A711,0.7977649807929993
A712,0.7993336081504822
A713,0.7063808441162109
A714,0.7958359837532043
A715,0.6978195548057556
A716,0.7955159783363343
A717,0.7110721468925476
A718,0.7837104201316833
A719,0.6545764982700348
A720,0.5955308917909861
A721,0.7955590486526489
A722,0.7995487689971924
A723,0.752936041355133
A724,0.5700358926784247
A725,0.5760693906806409
A726,0.5599116191093344
A727,0.7981490731239319
A728,0.7976664543151856
A729,0.5869926810264587
A730,0.6119317919015884
A731,0.7974869966506958
A732,0.5924894411116839
A733,0.733391273021698
A734,0.7873107075691224
A735,0.7997371196746826
A736,0.6354101538658142
A737,0.56125428378582
A738,0.6612972497940064
A739,0.7766294479370117
A740,0.3715802623453783
A741,0.7872189879417419
A742,0.6098085716366768
A743,0.6293765038251877
A744,0.7959706306457519
A745,0.7999309182167054
A746,0.7982289433479309
A747,0.7996890664100647
A748,0.7667470455169678
A749,0.5972774978727102
A750,0.7120635867118835
A751,0.5776729939505458
A752,0.7797003865242005
A753,0.7982761859893799
A754,0.7540209770202637
A755,0.7996602058410645
A756,0.7998437643051147
A757,0.7916153907775879
A758,0.7813748598098755
A759,0.6207795739173889
A760,0.6727816224098205
A761,0.7974765181541443
A762,0.6145909622311592
A763,0.7936414480209351
A764,0.5997540853917599
A765,0.7981708168983459
A766,0.7946166038513184
A767,0.799239206314087
A768,0.7992064952850342
A769,0.7468610525131225
A770,0.7948312759399414
A771,0.7787479519844055
A772,0.7948849201202393
A773,0.7232600927352906
A774,0.5951492056250572
A775,0.48729322601575403
A776,0.7948063731193542
A777,0.5813451927620917
A778,0.7963027834892273
A779,0.7867715954780579
A780,0.7936182975769043
A781,0.7756211757659912
A782,0.4847134789801203
A783,0.6982949495315551
A784,0.444812728674151
A785,0.7357291579246521
A786,0.797660231590271
A787,0.7943192005157471
A788,0.46141538172960284
A789,0.7944339036941528
A790,0.7847394466400146
A791,0.7983073830604553
